Name,Opportunity ID,Rank,SizeID,Opportunity Size
Opportunity #279,279,484,3,Large
Opportunity #428,428,483,3,Large
Opportunity #289,289,482,3,Large
Opportunity #108,108,481,3,Large
Opportunity #467,467,480,3,Large
Opportunity #410,410,479,3,Large
Opportunity #120,120,478,3,Large
Opportunity #156,156,477,3,Large
Opportunity #233,233,476,3,Large
Opportunity #95,95,475,3,Large
Opportunity #249,249,474,3,Large
Opportunity #444,444,473,3,Large
Opportunity #97,97,472,3,Large
Opportunity #281,281,471,3,Large
Opportunity #454,454,470,3,Large
Opportunity #50,50,469,3,Large
Opportunity #247,247,468,3,Large
Opportunity #115,115,467,3,Large
Opportunity #282,282,466,3,Large
Opportunity #251,251,465,3,Large
Opportunity #298,298,464,3,Large
Opportunity #52,52,463,3,Large
Opportunity #442,442,462,3,Large
Opportunity #234,234,461,3,Large
Opportunity #26,26,460,3,Large
Opportunity #221,221,459,3,Large
Opportunity #260,260,458,3,Large
Opportunity #236,236,457,3,Large
Opportunity #217,217,456,3,Large
Opportunity #321,321,455,3,Large
Opportunity #438,438,454,3,Large
Opportunity #131,131,453,3,Large
Opportunity #44,44,452,3,Large
Opportunity #224,224,451,3,Large
Opportunity #13,13,450,3,Large
Opportunity #283,283,449,3,Large
Opportunity #135,135,448,3,Large
Opportunity #231,231,447,3,Large
Opportunity #128,128,446,3,Large
Opportunity #406,406,445,3,Large
Opportunity #167,167,444,3,Large
Opportunity #466,466,443,3,Large
Opportunity #225,225,442,3,Large
Opportunity #149,149,441,3,Large
Opportunity #284,284,440,3,Large
Opportunity #109,109,439,3,Large
Opportunity #196,196,438,3,Large
Opportunity #24,24,437,3,Large
Opportunity #94,94,436,3,Large
Opportunity #334,334,435,3,Large
Opportunity #160,160,434,3,Large
Opportunity #71,71,433,3,Large
Opportunity #446,446,432,3,Large
Opportunity #383,383,431,3,Large
Opportunity #296,296,430,3,Large
Opportunity #262,262,429,3,Large
Opportunity #200,200,428,3,Large
Opportunity #460,460,427,3,Large
Opportunity #223,223,426,3,Large
Opportunity #46,46,425,3,Large
Opportunity #447,447,424,3,Large
Opportunity #61,61,423,3,Large
Opportunity #405,405,422,3,Large
Opportunity #306,306,421,3,Large
Opportunity #204,204,420,3,Large
Opportunity #226,226,419,3,Large
Opportunity #48,48,418,3,Large
Opportunity #359,359,417,3,Large
Opportunity #456,456,416,3,Large
Opportunity #401,401,415,3,Large
Opportunity #463,463,414,3,Large
Opportunity #213,213,413,3,Large
Opportunity #469,469,412,3,Large
Opportunity #361,361,411,3,Large
Opportunity #237,237,410,3,Large
Opportunity #111,111,409,3,Large
Opportunity #312,312,408,3,Large
Opportunity #259,259,407,3,Large
Opportunity #322,322,406,3,Large
Opportunity #336,336,405,3,Large
Opportunity #114,114,404,3,Large
Opportunity #157,157,403,3,Large
Opportunity #117,117,402,3,Large
Opportunity #138,138,401,3,Large
Opportunity #472,472,400,3,Large
Opportunity #254,254,399,3,Large
Opportunity #455,455,398,3,Large
Opportunity #88,88,397,3,Large
Opportunity #89,89,396,3,Large
Opportunity #118,118,395,3,Large
Opportunity #434,434,394,3,Large
Opportunity #35,35,393,3,Large
Opportunity #238,238,392,3,Large
Opportunity #267,267,391,3,Large
Opportunity #62,62,390,3,Large
Opportunity #162,162,389,3,Large
Opportunity #216,216,388,3,Large
Opportunity #100,100,387,3,Large
Opportunity #45,45,386,3,Large
Opportunity #222,222,385,3,Large
Opportunity #210,210,384,3,Large
Opportunity #297,297,383,3,Large
Opportunity #411,411,382,3,Large
Opportunity #137,137,381,3,Large
Opportunity #275,275,380,3,Large
Opportunity #235,235,379,3,Large
Opportunity #449,449,378,3,Large
Opportunity #16,16,377,3,Large
Opportunity #198,198,376,3,Large
Opportunity #453,453,375,3,Large
Opportunity #286,286,374,3,Large
Opportunity #470,470,373,3,Large
Opportunity #69,69,372,3,Large
Opportunity #25,25,371,3,Large
Opportunity #351,351,370,3,Large
Opportunity #105,105,369,3,Large
Opportunity #132,132,368,3,Large
Opportunity #285,285,367,3,Large
Opportunity #375,375,366,3,Large
Opportunity #42,42,365,3,Large
Opportunity #178,178,364,3,Large
Opportunity #17,17,363,3,Large
Opportunity #451,451,362,3,Large
Opportunity #90,90,361,3,Large
Opportunity #173,173,360,3,Large
Opportunity #461,461,359,3,Large
Opportunity #21,21,358,3,Large
Opportunity #31,31,357,3,Large
Opportunity #292,292,356,3,Large
Opportunity #270,270,355,3,Large
Opportunity #56,56,354,3,Large
Opportunity #302,302,353,3,Large
Opportunity #218,218,352,3,Large
Opportunity #15,15,351,3,Large
Opportunity #337,337,350,3,Large
Opportunity #75,75,349,3,Large
Opportunity #293,293,348,3,Large
Opportunity #161,161,347,3,Large
Opportunity #125,125,346,3,Large
Opportunity #303,303,345,3,Large
Opportunity #30,30,344,3,Large
Opportunity #268,268,343,3,Large
Opportunity #394,394,342,3,Large
Opportunity #54,54,341,3,Large
Opportunity #397,397,340,3,Large
Opportunity #232,232,339,3,Large
Opportunity #27,27,338,3,Large
Opportunity #328,328,337,3,Large
Opportunity #243,243,336,3,Large
Opportunity #403,403,335,3,Large
Opportunity #335,335,334,3,Large
Opportunity #107,107,333,3,Large
Opportunity #245,245,332,3,Large
Opportunity #110,110,331,3,Large
Opportunity #170,170,330,3,Large
Opportunity #64,64,329,3,Large
Opportunity #153,153,328,3,Large
Opportunity #388,388,327,3,Large
Opportunity #244,244,326,3,Large
Opportunity #314,314,325,3,Large
Opportunity #28,28,324,3,Large
Opportunity #174,174,323,3,Large
Opportunity #373,373,322,2,Medium
Opportunity #201,201,321,2,Medium
Opportunity #164,164,320,2,Medium
Opportunity #390,390,319,2,Medium
Opportunity #371,371,318,2,Medium
Opportunity #364,364,317,2,Medium
Opportunity #142,142,316,2,Medium
Opportunity #363,363,315,2,Medium
Opportunity #299,299,314,2,Medium
Opportunity #208,208,313,2,Medium
Opportunity #440,440,312,2,Medium
Opportunity #414,414,311,2,Medium
Opportunity #141,141,310,2,Medium
Opportunity #77,77,309,2,Medium
Opportunity #102,102,308,2,Medium
Opportunity #150,150,307,2,Medium
Opportunity #63,63,306,2,Medium
Opportunity #99,99,305,2,Medium
Opportunity #475,475,304,2,Medium
Opportunity #29,29,303,2,Medium
Opportunity #339,339,302,2,Medium
Opportunity #310,310,301,2,Medium
Opportunity #212,212,300,2,Medium
Opportunity #399,399,299,2,Medium
Opportunity #366,366,298,2,Medium
Opportunity #116,116,297,2,Medium
Opportunity #398,398,296,2,Medium
Opportunity #409,409,295,2,Medium
Opportunity #370,370,294,2,Medium
Opportunity #269,269,293,2,Medium
Opportunity #143,143,292,2,Medium
Opportunity #146,146,291,2,Medium
Opportunity #76,76,290,2,Medium
Opportunity #106,106,289,2,Medium
Opportunity #19,19,288,2,Medium
Opportunity #387,387,287,2,Medium
Opportunity #79,79,286,2,Medium
Opportunity #313,313,285,2,Medium
Opportunity #39,39,284,2,Medium
Opportunity #408,408,283,2,Medium
Opportunity #340,340,282,2,Medium
Opportunity #145,145,281,2,Medium
Opportunity #219,219,280,2,Medium
Opportunity #209,209,279,2,Medium
Opportunity #462,462,278,2,Medium
Opportunity #264,264,277,2,Medium
Opportunity #319,319,276,2,Medium
Opportunity #422,422,275,2,Medium
Opportunity #320,320,274,2,Medium
Opportunity #38,38,273,2,Medium
Opportunity #360,360,272,2,Medium
Opportunity #41,41,271,2,Medium
Opportunity #435,435,270,2,Medium
Opportunity #65,65,269,2,Medium
Opportunity #376,376,268,2,Medium
Opportunity #96,96,267,2,Medium
Opportunity #385,385,266,2,Medium
Opportunity #199,199,265,2,Medium
Opportunity #372,372,264,2,Medium
Opportunity #441,441,263,2,Medium
Opportunity #354,354,262,2,Medium
Opportunity #439,439,261,2,Medium
Opportunity #380,380,260,2,Medium
Opportunity #295,295,259,2,Medium
Opportunity #416,416,258,2,Medium
Opportunity #381,381,257,2,Medium
Opportunity #424,424,256,2,Medium
Opportunity #450,450,255,2,Medium
Opportunity #40,40,254,2,Medium
Opportunity #324,324,253,2,Medium
Opportunity #477,477,252,2,Medium
Opportunity #229,229,251,2,Medium
Opportunity #420,420,250,2,Medium
Opportunity #471,471,249,2,Medium
Opportunity #437,437,248,2,Medium
Opportunity #192,192,247,2,Medium
Opportunity #104,104,246,2,Medium
Opportunity #395,395,245,2,Medium
Opportunity #191,191,244,2,Medium
Opportunity #276,276,243,2,Medium
Opportunity #473,473,242,2,Medium
Opportunity #37,37,241,2,Medium
Opportunity #274,274,240,2,Medium
Opportunity #22,22,239,2,Medium
Opportunity #443,443,238,2,Medium
Opportunity #315,315,237,2,Medium
Opportunity #166,166,236,2,Medium
Opportunity #203,203,235,2,Medium
Opportunity #92,92,234,2,Medium
Opportunity #205,205,233,2,Medium
Opportunity #239,239,232,2,Medium
Opportunity #241,241,231,2,Medium
Opportunity #429,429,230,2,Medium
Opportunity #154,154,229,2,Medium
Opportunity #344,344,228,2,Medium
Opportunity #58,58,227,2,Medium
Opportunity #452,452,226,2,Medium
Opportunity #190,190,225,2,Medium
Opportunity #202,202,224,2,Medium
Opportunity #362,362,223,2,Medium
Opportunity #305,305,222,2,Medium
Opportunity #147,147,221,2,Medium
Opportunity #445,445,220,2,Medium
Opportunity #23,23,219,2,Medium
Opportunity #400,400,218,2,Medium
Opportunity #12,12,217,2,Medium
Opportunity #346,346,216,2,Medium
Opportunity #358,358,215,2,Medium
Opportunity #163,163,214,2,Medium
Opportunity #14,14,213,2,Medium
Opportunity #318,318,212,2,Medium
Opportunity #341,341,211,2,Medium
Opportunity #393,393,210,2,Medium
Opportunity #85,85,209,2,Medium
Opportunity #333,333,208,2,Medium
Opportunity #187,187,207,2,Medium
Opportunity #252,252,206,2,Medium
Opportunity #188,188,205,2,Medium
Opportunity #83,83,204,2,Medium
Opportunity #122,122,203,2,Medium
Opportunity #326,326,202,2,Medium
Opportunity #134,134,201,2,Medium
Opportunity #47,47,200,2,Medium
Opportunity #365,365,199,2,Medium
Opportunity #32,32,198,2,Medium
Opportunity #124,124,197,2,Medium
Opportunity #330,330,196,2,Medium
Opportunity #272,272,195,2,Medium
Opportunity #412,412,194,2,Medium
Opportunity #36,36,193,2,Medium
Opportunity #277,277,192,2,Medium
Opportunity #427,427,191,2,Medium
Opportunity #367,367,190,2,Medium
Opportunity #350,350,189,2,Medium
Opportunity #426,426,188,2,Medium
Opportunity #389,389,187,2,Medium
Opportunity #266,266,186,2,Medium
Opportunity #294,294,185,2,Medium
Opportunity #9,9,184,2,Medium
Opportunity #81,81,183,2,Medium
Opportunity #66,66,182,2,Medium
Opportunity #86,86,181,2,Medium
Opportunity #332,332,180,2,Medium
Opportunity #70,70,179,2,Medium
Opportunity #311,311,178,2,Medium
Opportunity #355,355,177,2,Medium
Opportunity #151,151,176,2,Medium
Opportunity #158,158,175,2,Medium
Opportunity #478,478,174,2,Medium
Opportunity #165,165,173,2,Medium
Opportunity #349,349,172,2,Medium
Opportunity #59,59,171,2,Medium
Opportunity #432,432,170,2,Medium
Opportunity #368,368,169,2,Medium
Opportunity #175,175,168,2,Medium
Opportunity #74,74,167,2,Medium
Opportunity #93,93,166,2,Medium
Opportunity #329,329,165,2,Medium
Opportunity #139,139,164,2,Medium
Opportunity #129,129,163,2,Medium
Opportunity #183,183,162,2,Medium
Opportunity #256,256,161,1,Small
Opportunity #468,468,160,1,Small
Opportunity #384,384,159,1,Small
Opportunity #98,98,158,1,Small
Opportunity #119,119,157,1,Small
Opportunity #280,280,156,1,Small
Opportunity #80,80,155,1,Small
Opportunity #421,421,154,1,Small
Opportunity #189,189,153,1,Small
Opportunity #136,136,152,1,Small
Opportunity #215,215,151,1,Small
Opportunity #347,347,150,1,Small
Opportunity #184,184,149,1,Small
Opportunity #287,287,148,1,Small
Opportunity #348,348,147,1,Small
Opportunity #152,152,146,1,Small
Opportunity #55,55,145,1,Small
Opportunity #423,423,144,1,Small
Opportunity #148,148,143,1,Small
Opportunity #242,242,142,1,Small
Opportunity #53,53,141,1,Small
Opportunity #323,323,140,1,Small
Opportunity #308,308,139,1,Small
Opportunity #181,181,138,1,Small
Opportunity #255,255,137,1,Small
Opportunity #182,182,136,1,Small
Opportunity #379,379,135,1,Small
Opportunity #338,338,134,1,Small
Opportunity #425,425,133,1,Small
Opportunity #459,459,132,1,Small
Opportunity #343,343,131,1,Small
Opportunity #357,357,130,1,Small
Opportunity #464,464,129,1,Small
Opportunity #133,133,128,1,Small
Opportunity #278,278,127,1,Small
Opportunity #82,82,126,1,Small
Opportunity #72,72,125,1,Small
Opportunity #386,386,124,1,Small
Opportunity #207,207,123,1,Small
Opportunity #273,273,122,1,Small
Opportunity #73,73,121,1,Small
Opportunity #250,250,120,1,Small
Opportunity #291,291,119,1,Small
Opportunity #331,331,118,1,Small
Opportunity #288,288,117,1,Small
Opportunity #11,11,116,1,Small
Opportunity #290,290,115,1,Small
Opportunity #317,317,114,1,Small
Opportunity #67,67,113,1,Small
Opportunity #34,34,112,1,Small
Opportunity #304,304,111,1,Small
Opportunity #179,179,110,1,Small
Opportunity #431,431,109,1,Small
Opportunity #227,227,108,1,Small
Opportunity #271,271,107,1,Small
Opportunity #33,33,106,1,Small
Opportunity #130,130,105,1,Small
Opportunity #369,369,104,1,Small
Opportunity #480,480,103,1,Small
Opportunity #248,248,102,1,Small
Opportunity #113,113,101,1,Small
Opportunity #127,127,100,1,Small
Opportunity #258,258,99,1,Small
Opportunity #220,220,98,1,Small
Opportunity #378,378,97,1,Small
Opportunity #307,307,96,1,Small
Opportunity #126,126,95,1,Small
Opportunity #465,465,94,1,Small
Opportunity #123,123,93,1,Small
Opportunity #345,345,92,1,Small
Opportunity #195,195,91,1,Small
Opportunity #457,457,90,1,Small
Opportunity #197,197,89,1,Small
Opportunity #253,253,88,1,Small
Opportunity #240,240,87,1,Small
Opportunity #413,413,86,1,Small
Opportunity #103,103,85,1,Small
Opportunity #10,10,84,1,Small
Opportunity #155,155,83,1,Small
Opportunity #60,60,82,1,Small
Opportunity #186,186,81,1,Small
Opportunity #68,68,80,1,Small
Opportunity #418,418,79,1,Small
Opportunity #474,474,78,1,Small
Opportunity #101,101,77,1,Small
Opportunity #20,20,76,1,Small
Opportunity #194,194,75,1,Small
Opportunity #309,309,74,1,Small
Opportunity #172,172,73,1,Small
Opportunity #391,391,72,1,Small
Opportunity #91,91,71,1,Small
Opportunity #18,18,70,1,Small
Opportunity #377,377,69,1,Small
Opportunity #448,448,68,1,Small
Opportunity #417,417,67,1,Small
Opportunity #180,180,66,1,Small
Opportunity #159,159,65,1,Small
Opportunity #214,214,64,1,Small
Opportunity #316,316,63,1,Small
Opportunity #404,404,62,1,Small
Opportunity #301,301,61,1,Small
Opportunity #168,168,60,1,Small
Opportunity #356,356,59,1,Small
Opportunity #230,230,58,1,Small
Opportunity #382,382,57,1,Small
Opportunity #476,476,56,1,Small
Opportunity #261,261,55,1,Small
Opportunity #140,140,54,1,Small
Opportunity #436,436,53,1,Small
Opportunity #87,87,52,1,Small
Opportunity #396,396,51,1,Small
Opportunity #415,415,50,1,Small
Opportunity #374,374,49,1,Small
Opportunity #327,327,48,1,Small
Opportunity #265,265,47,1,Small
Opportunity #352,352,46,1,Small
Opportunity #479,479,45,1,Small
Opportunity #353,353,44,1,Small
Opportunity #185,185,43,1,Small
Opportunity #169,169,42,1,Small
Opportunity #407,407,41,1,Small
Opportunity #78,78,40,1,Small
Opportunity #144,144,39,1,Small
Opportunity #112,112,38,1,Small
Opportunity #8,8,37,1,Small
Opportunity #419,419,36,1,Small
Opportunity #177,177,35,1,Small
Opportunity #482,482,34,1,Small
Opportunity #84,84,33,1,Small
Opportunity #171,171,32,1,Small
Opportunity #246,246,31,1,Small
Opportunity #257,257,30,1,Small
Opportunity #458,458,29,1,Small
Opportunity #121,121,28,1,Small
Opportunity #49,49,27,1,Small
Opportunity #43,43,26,1,Small
Opportunity #325,325,25,1,Small
Opportunity #3,3,24,1,Small
Opportunity #433,433,23,1,Small
Opportunity #211,211,22,1,Small
Opportunity #228,228,21,1,Small
Opportunity #300,300,20,1,Small
Opportunity #481,481,19,1,Small
Opportunity #485,485,18,1,Small
Opportunity #57,57,17,1,Small
Opportunity #342,342,16,1,Small
Opportunity #402,402,15,1,Small
Opportunity #484,484,14,1,Small
Opportunity #263,263,13,1,Small
Opportunity #1,1,12,1,Small
Opportunity #193,193,11,1,Small
Opportunity #430,430,10,1,Small
Opportunity #486,486,9,1,Small
Opportunity #176,176,8,1,Small
Opportunity #5,5,7,1,Small
Opportunity #392,392,6,1,Small
Opportunity #206,206,5,1,Small
Opportunity #51,51,4,1,Small
Opportunity #6,6,3,1,Small
Opportunity #483,483,2,1,Small
Opportunity #2,2,2,1,Small
Opportunity #7,7,1,1,Small
Opportunity #4,4,1,1,Small
